player_name,image_url
Nikola Jokic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQctqS22RQR0dU7tkz6HY5qaqtPrats45Z3BEbG_vHDA7UTXJluz48ppDXTywo&s
joel embiid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7DIex4h2jDxCqKMUUGsT7S9yihVn96gxcP6H977LTseuSv296k5VbX5haG_o&s
tyrese haliburton,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJrNi7K4acuoAdhGNbbDBrTVPaL-r0nAYdB0p--JFaXfxZ92lpJioDD7Qy1RQ&s
luka doncic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAGYOtEmcUNJRNQ-jNbhzKunACTKHfTIGUT1gYXok1fETKZLAfaS7jrEiD8ow&s
Stephen Curry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3fD0mQjZdo-eX9iZemrUjzR8dPp5u48FGkMuVEAjnRTc3a6HiYQqgGUOjrg&s
jayson tatum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ67ewRLNS-VgxiYNJlx0r7eWHGJ8zLAkjMBhv3GlLJ7oEwgzwjyBTKRhKKY9U&s
kevin durant,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbXn6n1BfiRL25eoxU1fSzhinuqrTJjc3h_VH458ZoLuM9gRdeXX0ouLEemQ&s
lamelo ball,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtiug0AYINpUwpfwYE6t2EgtQFlPsQav4pxuE-ilEshT-NiZnjmDBuFSMY9wg&s
anthony davis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXRKnn9_79AeXkb5JY17MKt1ltDUK6YOFIYIW2uUPE1TVcnXTNsj5S9FAWjw&s
kyrie irving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrws3F85o97BGH5dPRRSF4uFlxvJBw-Js0wZNx747O9WS5Sa3f5hs4s_m0qQ&s
damian lillard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0AChJ5okkC8zyzBlFHMMjrHOZ3UVXDONUAtNkOrPKD9y9s7BovPcnGQW0nw&s
giannis antetokounmpo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPrc7Fq4hh6Lf5Xs47WGkFLxMEy5_6Z4DO8Tfn79rRvkrmIB-P8DOUAepbOew&s
domantas sabonis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb_qO29rEqewDUZzbT8fbVvEqSeaZ6kvTV30Elo6w4Oo3n305tHhEWV4Gozvw&s
trae young,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQph62r7OB7j5u5Ded7oNNPGYgIxSdMA_l9RWP0pNS7zo_1pEdnJuM7gllUg&s
devin booker,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJgmxFtcQ4DMRDhOVbHLP-mC87gRdBUO_wxUHHPlNpxJrJFbrcxww6ZgQ9cDQ&s
donovan mitchell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7p0bI4N4Pu6ke8-_ThFcDxXe9gHF7bDCRVEKraTCBIYOibnYGFOR8wWSpQTs&s
james harden,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSDnAtTICCbfi8z0UCZ0GrfrS-kiQRRFocJwROCKy0k2Kc5CenXz0cf7y6tg&s
fred vanvleet,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz9ZxzhRgXTL5IW5U8CIWczNZbX99h_3eB_e02_usjrzNA36bjk_GQWCs-QA&s
karl-anthony towns,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIwPYuR-_sbZ-36-2ADKTGbFsV8gLJSCF0wYkffXYhQfnFlpF9CvNkcJoJnxs&s
jimmy butler,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1TAGBHZHCQJv0fhifQ9B-NFSZNgWATza0ZpGS-8noiqMbRpbXB4ANjt7crAk&s
lebron james,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkIoRPrDpj7H5qCZJQ2m5oWwUTN4EVlpkswlk9nRFKgbtRUGcWAlHNqxFoACc&s
dejounte murray,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt36t9fZN_V9LVwhGyl8Rg-YP0IZdhHZfca-Z0uT93OatEC4Pv5uxi2glUeTE&s
anthony edwards,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOVJTmwzaM-GlIubbze0RKa0GTgxFVYh8MNUNWnGE32Za2yWgEt1MWAxvznOU&s
kawhi leonard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6RaPrCv4ygEvqG4CnHKJda96Fluy7kDcCgXCkDPwk7uJvF3qxJIJoMsvSs5M&s
desmond bane,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRuWNv6gNt2a8MFijpIqN0wrl_CwW-FZ1oJwDwlAlV0RQiP7j-l1uVU23-rQ&s
Kristaps Porzingis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFNvzeE_N-luxybN8hl2I995fvQ67fAbetLPE7QVLkOQZa2rw0U3gFcsegXQ&s
bam adebayo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE5QCz6NsfSMS7XD_Wz1nX6y3EMn5Iz-GG0eyZwqOmTGHGa1lMTo8mM3gZvIk&s
de'aaron fox,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYhpX3yQuS5B4WB60BDM9LHQjXnKbDFnhLJD8UtbBJjWMJpik-OGx3J14NcpY&s
pascal siakam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPVu4j0LmTOqOvSLDE8O5E8aHK2CLcRXCLKPlINhpsxQj3CCE_N4H1e_cNDWs&s
Myles turner,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaEFOR2fYyTL7FTJ8I3JPPQZQO2SKquLhpjZYE093-qgLkWV-V5zAOq2o6g4g&s
